省份,性别,年龄,金额
广东,0,19,5
福建,1,19,5
湖北,1,19,5.1
山东,1,19,7
江苏,0,19,8
广东,0,19,8
河北,1,19,9
湖北,0,19,10
广东,1,19,10
天津,0,19,10
山东,1,19,10
广东,1,19,10
云南,0,19,10
浙江,1,19,12
广西,1,19,12
广东,1,19,12.11
江苏,1,19,13
广东,1,19,15
安徽,1,19,15
广东,0,19,18
河北,1,19,20
浙江,1,19,20
广东,1,19,20.1
海南,1,19,22
广东,1,19,22
江苏,1,19,30
福建,1,19,37
浙江,0,19,40
浙江,0,19,54
吉林,1,19,55
福建,1,19,56
重庆,1,19,100
山东,1,19,100
重庆,0,19,100
福建,1,19,100
四川,1,19,100
陕西,0,19,100
浙江,1,19,100
陕西,0,19,100
内蒙古,1,19,100
江苏,0,19,100
重庆,0,19,100
湖南,0,19,100
重庆,0,19,100
云南,0,19,100
湖北,1,19,100
辽宁,0,19,100
山西,0,19,100
河南,1,19,100
河南,0,19,100
浙江,1,19,100
广东,0,19,100
山东,0,19,100
北京,1,19,100
浙江,0,19,100
辽宁,1,19,100
广东,1,19,100
新疆,1,19,100
广东,1,19,100
河南,1,19,100
河南,0,19,100
山西,1,19,100
湖北,1,19,100
四川,1,19,100
山西,1,19,100
安徽,1,19,100
广东,0,19,100
河北,1,19,100
江苏,0,19,100
浙江,1,19,100
宁夏,0,19,100
天津,0,19,100
河北,0,19,100
上海,1,19,100
广西,1,19,100
江苏,0,19,100
广东,0,19,100
四川,1,19,100
山东,1,19,100
江苏,1,19,100
宁夏,0,19,100
广东,0,19,100
湖北,1,19,100
山东,1,19,100
辽宁,0,19,100
湖北,1,19,100
广西,0,19,100
山东,1,19,100
宁夏,0,19,100
山西,0,19,100
江西,0,19,100
黑龙江,0,19,100
广东,0,19,100
河南,1,19,100
浙江,0,19,100
山东,1,19,100
安徽,0,19,100
江西,1,19,100
陕西,1,19,100
广东,1,19,100
海南,0,19,100
辽宁,0,19,100
浙江,0,19,100
广东,1,19,100
广西,0,19,100
安徽,0,19,100
浙江,1,19,100
河南,1,19,100
广东,1,19,100
江西,1,19,101
江苏,1,19,101
广西,1,19,101
河南,1,19,101
河南,0,19,102
山东,1,19,102
河南,0,19,102
安徽,1,19,103
山东,1,19,104
四川,1,19,112
广东,0,19,120
江西,1,19,120
北京,0,19,181
北京,0,19,200
上海,1,19,200
山东,1,19,200
北京,0,19,200.81
辽宁,1,19,300
山东,1,19,300
广东,1,19,300
广东,0,19,400.87
安徽,1,19,500
广西,1,19,508
山东,1,19,600
上海,1,19,600
上海,1,19,600.87
安徽,1,19,700
河北,0,19,800
浙江,1,19,809
福建,1,19,911
辽宁,0,19,1000
上海,0,19,1000
河南,1,19,1000
,1,19,1000
安徽,0,19,1000
湖北,1,19,1000
湖北,0,19,1000
江西,1,19,1000
广东,0,19,1000
广西,1,19,1000
重庆,1,19,1001
江苏,1,19,1004
山东,0,19,1100
山东,1,19,1590
浙江,0,19,2000
河北,1,19,2012
吉林,1,19,2015.01
福建,1,19,2090.58
山东,0,19,2227.34
浙江,0,19,2400.81
重庆,1,19,2505
江苏,1,19,3000
云南,0,19,3600
黑龙江,1,19,4000
福建,1,19,4000
广东,0,19,4000
河南,0,19,4000
上海,1,19,4500
北京,0,19,5000
广东,1,19,5000
北京,1,19,5000
安徽,1,19,5017.27
江苏,1,19,5828.43
山东,1,19,6001
安徽,1,19,6021.28
上海,0,19,6200
上海,0,19,6315.29
江西,1,19,7301.43
广东,1,19,8177
江苏,1,19,8500
河南,0,19,9000
上海,0,19,9000
北京,0,19,9001
浙江,1,19,9024.41
江苏,0,19,10000
云南,0,19,10000
四川,0,19,10000
浙江,0,19,10001
上海,1,19,10001
北京,1,19,10003
广东,1,19,10059
北京,0,19,10319
湖北,1,19,10455.45
上海,1,19,12048.82
浙江,1,19,13300
北京,0,19,14623.02
广东,0,19,15040.68
辽宁,1,19,16006.38
北京,1,19,18073.23
广东,0,19,20000
广东,0,19,20000
广东,0,19,20000
广东,0,19,20000
山东,1,19,20001
广东,1,19,20003
湖北,0,19,20081.37
河北,0,19,22000
广东,0,19,30000
湖南,1,19,30082.37
湖北,0,19,35000
四川,0,19,40000
广东,0,19,40087.12
广东,0,19,40087.12
云南,0,19,40654.88
广东,1,19,44582
广西,0,19,50681.37
吉林,1,19,50765.72
辽宁,0,19,52384.67
山东,1,19,55175.37
福建,0,19,73336.27
甘肃,0,19,79635.11
广东,0,19,80174.25
江苏,0,19,85162.74
广东,1,19,119050.86
北京,1,19,120719.15
浙江,0,19,201000
江西,1,19,600009
山东,1,19,1000112
上海,1,20,0
河南,1,20,0
辽宁,0,20,0
北京,0,20,0
山东,1,20,0
广东,1,20,0
安徽,1,20,0
江苏,0,20,0
福建,1,20,0
海南,1,20,0
安徽,0,20,0
湖南,1,20,0
广西,1,20,0
上海,0,20,0
新疆,1,20,0
广东,1,20,0
江苏,1,20,0
福建,0,20,0
贵州,0,20,0
吉林,0,20,0
湖北,1,20,0
天津,1,20,0
广东,1,20,0
上海,1,20,0
山东,0,20,0
河北,0,20,0
山西,0,20,0
天津,0,20,0
河北,1,20,0
北京,1,20,0
福建,1,20,0
安徽,0,20,0
黑龙江,1,20,0
广东,0,20,0
江西,1,20,0
福建,1,20,0
江苏,0,20,0
广东,1,20,0
甘肃,1,20,0
四川,1,20,0
陕西,0,20,0
广东,0,20,0
福建,1,20,0
河南,1,20,0
江苏,1,20,0
湖南,1,20,0
江苏,1,20,0
广东,1,20,1
北京,1,20,1
河北,1,20,1
天津,1,20,1
浙江,1,20,1
四川,0,20,1
浙江,0,20,1
河南,0,20,1
广东,1,20,1
湖北,0,20,1
广东,1,20,1
山东,1,20,1.01
四川,1,20,1.01
四川,1,20,1.1
陕西,1,20,1.1
广东,1,20,1.1
福建,1,20,1.1
广东,1,20,1.2
新疆,1,20,1.5
新疆,1,20,1.75
广东,0,20,2
河南,1,20,2
福建,0,20,2
安徽,1,20,2
湖北,1,20,2
江西,1,20,2
浙江,1,20,2
河南,1,20,2
湖南,1,20,2
云南,0,20,2
贵州,1,20,2
陕西,0,20,2
上海,0,20,2
江苏,0,20,2
天津,0,20,2
贵州,0,20,2
湖北,1,20,2
上海,1,20,2
山西,1,20,2
福建,1,20,2
海南,1,20,2
江苏,1,20,2
黑龙江,0,20,2
江苏,1,20,2
广东,1,20,2
广东,1,20,2.1
山西,1,20,2.2
山东,1,20,3
天津,1,20,3
四川,1,20,3
安徽,1,20,3
福建,1,20,3
河南,1,20,3.01
吉林,0,20,4
