,MOBILEAREA,性别,年龄,金额,谷歌地图经度,谷歌地图纬度
25095,广东 深圳市,男,22,17400,114.0595443,22.54283882
18601,江苏 苏州市,女,27,17360,120.58319009999998,31.29832743
38999,天津,女,25,17353,117.1994124,39.08498159
42179,吉林 四平市,男,38,17325,124.35030159999998,43.16655412
13883,河南 郑州市,男,47,17324,113.62491840000001,34.74723141
41471,四川 乐山市,男,45,17306,103.7653765,29.55226462
6687,福建 厦门市,女,25,17301,118.0894498,24.47955948
8090,湖南 娄底市,男,26,17278,111.9945561,27.69727735
5952,福建 泉州市,女,23,17273,118.6758514,24.87388355
9889,湖北 武汉市,女,62,17260,114.30523059999999,30.59274732
45352,北京,男,24,17250,116.4071592,39.90467168
523,黑龙江 哈尔滨市,女,39,17241,126.5358233,45.80217361
12792,浙江 宁波市,男,25,17241,121.55027290000001,29.87383361
33900,山东 青岛市,女,41,17210,120.3829588,36.06625251
50768,上海,女,32,17210,121.47369990000001,31.23039505
40477,四川 成都市,女,41,17201,104.064766,30.57016295
16497,河北 张家口市,女,30,17200,114.88755559999998,40.82442028
7699,湖南 长沙市,男,30,17111,112.9388158,28.22787847
30372,广东 广州市,男,27,17109,113.26435,23.12906597
4064,辽宁 大连市,女,35,17107,121.6147485,38.913680299999996
33901,山东 青岛市,男,31,17102,120.3829588,36.06625251
35920,山东 泰安市,男,28,17101,117.0883703,36.19996895
35921,山东 泰安市,女,26,17100,117.0883703,36.19996895
1192,陕西 西安市,女,35,17100,108.9398472,34.34120165
45353,北京,男,23,17098,116.4071592,39.90467168
21908,江苏 南京市,男,24,17096,118.7964668,32.05838984
45354,北京,男,32,17069,116.4071592,39.90467168
30373,广东 广州市,女,21,17069,113.26435,23.12906597
25096,广东 深圳市,男,31,17069,114.0595443,22.54283882
41142,四川 德阳市,女,52,17068,104.3978915,31.12681617
45355,北京,男,49,17065,116.4071592,39.90467168
30374,广东 广州市,男,39,17062,113.26435,23.12906597
21909,江苏 南京市,女,22,17060,118.7964668,32.05838984
11717,浙江 温州市,女,22,17058,120.6993872,27.99483592
50769,上海,男,46,17049,121.47369990000001,31.23039505
17693,江西 南昌市,男,29,17049,115.85793819999999,28.68201581
45356,北京,男,34,17043,116.4071592,39.90467168
2141,重庆,男,25,17041,106.55074450000001,29.56470494
38077,安徽 合肥市,男,33,17028,117.2290159,31.82052309
40478,四川 成都市,男,27,17026,104.064766,30.57016295
25097,广东 深圳市,女,25,17026,114.0595443,22.54283882
5953,福建 泉州市,女,24,17024,118.6758514,24.87388355
40479,四川 成都市,男,30,17018,104.064766,30.57016295
10857,海南 海口市,女,49,17018,110.19987490000001,20.04428146
50770,上海,男,33,17017,121.47369990000001,31.23039505
17105,江西 赣州市,男,35,17017,114.93474599999999,25.83108191
25985,广东 江门市,男,25,17017,113.0815873,22.57869763
41762,吉林 长春市,女,41,17015,125.32353710000001,43.81604546
45357,北京,女,28,17012,116.4071592,39.90467168
2142,重庆,女,32,17012,106.55074450000001,29.56470494
35922,山东 泰安市,男,34,17008,117.0883703,36.19996895
45358,北京,男,29,17007,116.4071592,39.90467168
14610,河南 洛阳市,女,33,17007,112.4536024,34.61816305
8992,湖北 荆州市,男,25,17006,112.24066840000002,30.33486095
32911,山西 晋中市,男,33,17004,112.7527955,37.68697239
5954,福建 泉州市,男,28,17004,118.6758514,24.87388355
45359,北京,女,25,17003,116.4071592,39.90467168
19123,江苏 淮安市,男,30,17003,119.0159098,33.61015184
41763,吉林 长春市,女,25,17002,125.32353710000001,43.81604546
14611,河南 洛阳市,男,47,17002,112.4536024,34.61816305
36911,安徽 阜阳市,男,24,17002,115.8149457,32.88964371
45360,北京,男,33,17001,116.4071592,39.90467168
16389,河北 沧州市,男,24,17001,116.8387311,38.30429629
9890,湖北 武汉市,男,27,17001,114.30523059999999,30.59274732
47437,云南 西双版纳傣族自治州,男,22,17001,100.79738459999999,22.00752279
17,黑龙江 齐齐哈尔市,男,33,17000,123.917943,47.35433422
22753,新疆 乌鲁木齐市,女,32,17000,87.61689399,43.82658935
36227,山东 德州市,女,29,17000,116.3592899,37.43537511
35574,山东 济南市,男,28,17000,116.9948952,36.66526101
21910,江苏 南京市,男,25,17000,118.7964668,32.05838984
38080,安徽 合肥市,女,32,17000,117.2290159,31.82052309
38078,安徽 合肥市,女,31,17000,117.2290159,31.82052309
38081,安徽 合肥市,男,30,17000,117.2290159,31.82052309
38079,安徽 合肥市,女,25,17000,117.2290159,31.82052309
36806,安徽 马鞍山市,男,30,17000,118.50611049999999,31.67068435
36805,安徽 马鞍山市,女,23,17000,118.50611049999999,31.67068435
50772,上海,女,38,17000,121.47369990000001,31.23039505
50771,上海,女,27,17000,121.47369990000001,31.23039505
2143,重庆,女,33,17000,106.55074450000001,29.56470494
5955,福建 泉州市,男,27,17000,118.6758514,24.87388355
32340,广东 东莞市,男,47,17000,113.75180309999999,23.02066519
25986,广东 江门市,女,23,17000,113.0815873,22.57869763
21911,江苏 南京市,女,38,16999,118.7964668,32.05838984
21912,江苏 南京市,女,29,16993,118.7964668,32.05838984
15227,河南 安阳市,女,43,16990,114.39307409999999,36.09775433
4065,辽宁 大连市,女,27,16951,121.6147485,38.913680299999996
45361,北京,女,32,16941,116.4071592,39.90467168
34498,山东 烟台市,女,33,16916,121.4480162,37.46351347
19124,江苏 淮安市,男,30,16909,119.0159098,33.61015184
50773,上海,男,37,16907,121.47369990000001,31.23039505
21913,江苏 南京市,男,22,16901,118.7964668,32.05838984
25098,广东 深圳市,男,44,16901,114.0595443,22.54283882
4650,贵州 安顺市,男,25,16900,105.9461845,26.25369923
38082,安徽 合肥市,男,28,16899,117.2290159,31.82052309
34753,山东 潍坊市,男,29,16800,119.1617636,36.70687907
50774,上海,男,28,16754,121.47369990000001,31.23039505
45362,北京,女,26,16748,116.4071592,39.90467168
47744,云南 昆明市,男,24,16727,102.83322340000001,24.87967709
37318,安徽 淮北市,男,27,16722,116.79834540000002,33.954744700000006
19661,江苏 无锡市,女,27,16709,120.31236940000001,31.49095473
4066,辽宁 大连市,女,32,16705,121.6147485,38.913680299999996
41935,吉林 通化市,女,59,16700,125.93989029999999,41.72825176
37480,安徽 安庆市,男,25,16700,117.06352109999999,30.54292045
38083,安徽 合肥市,男,23,16694,117.2290159,31.82052309
22593,新疆 阿克苏地区,女,36,16627,80.26009113,41.16839285
13079,浙江 嘉兴市,男,32,16620,120.75549240000001,30.74498339
41764,吉林 长春市,女,25,16606,125.32353710000001,43.81604546
23193,广西 柳州市,男,42,16606,109.4155114,24.32544245
45363,北京,男,35,16602,116.4071592,39.90467168
45364,北京,女,30,16600,116.4071592,39.90467168
36621,山东 东营市,女,25,16565,118.67464129999999,37.43362759
21914,江苏 南京市,男,38,16545,118.7964668,32.05838984
2144,重庆,女,26,16535,106.55074450000001,29.56470494
13884,河南 郑州市,男,31,16517,113.62491840000001,34.74723141
35575,山东 济南市,男,38,16513,116.9948952,36.66526101
45365,北京,女,24,16504,116.4071592,39.90467168
93,黑龙江 绥化市,男,27,16502,126.96926270000002,46.65252898
3132,辽宁 沈阳市,男,30,16500,123.43237409999999,41.80557847
46856,内蒙古 鄂尔多斯市,男,47,16500,109.78090449999999,39.60838917
17694,江西 南昌市,女,26,16500,115.85793819999999,28.68201581
25099,广东 深圳市,女,30,16500,114.0595443,22.54283882
25101,广东 深圳市,女,28,16500,114.0595443,22.54283882
25100,广东 深圳市,男,25,16500,114.0595443,22.54283882
38084,安徽 合肥市,男,34,16472,117.2290159,31.82052309
45366,北京,女,26,16466,116.4071592,39.90467168
15314,河南 商丘市,女,28,16427,115.65632409999999,34.41427602
23001,广西 梧州市,女,29,16426,111.2790992,23.47710923
20153,江苏 徐州市,女,28,16403,117.2857488,34.20439459
10858,海南 海口市,男,39,16402,110.19987490000001,20.04428146
15631,河北 邯郸市,女,27,16380,114.5391973,36.62555513
13885,河南 郑州市,男,27,16357,113.62491840000001,34.74723141
8831,湖北 荆门市,男,25,16339,112.1994572,31.03548495
31663,广东 佛山市,女,22,16318,113.1219262,23.0217925
36622,山东 东营市,男,36,16284,118.67464129999999,37.43362759
15315,河南 商丘市,男,34,16283,115.65632409999999,34.41427602
9891,湖北 武汉市,女,27,16280,114.30523059999999,30.59274732
47438,云南 西双版纳傣族自治州,男,24,16269,100.79738459999999,22.00752279
35576,山东 济南市,男,26,16251,116.9948952,36.66526101
19125,江苏 淮安市,男,28,16240,119.0159098,33.61015184
6688,福建 厦门市,女,31,16240,118.0894498,24.47955948
50775,上海,男,34,16206,121.47369990000001,31.23039505
12793,浙江 宁波市,男,31,16201,121.55027290000001,29.87383361
33902,山东 青岛市,男,42,16200,120.3829588,36.06625251
9892,湖北 武汉市,女,23,16200,114.30523059999999,30.59274732
42063,吉林 白城市,男,48,16152,122.8387591,45.6194806
46983,内蒙古 巴彦淖尔,男,29,16139,107.3877152,40.74318173
45367,北京,男,26,16130,116.4071592,39.90467168
524,黑龙江 哈尔滨市,女,25,16124,126.5358233,45.80217361
21915,江苏 南京市,女,23,16124,118.7964668,32.05838984
3133,辽宁 沈阳市,女,36,16123,123.43237409999999,41.80557847
9893,湖北 武汉市,女,32,16120,114.30523059999999,30.59274732
30375,广东 广州市,男,47,16109,113.26435,23.12906597
8993,湖北 荆州市,男,36,16106,112.24066840000002,30.33486095
21916,江苏 南京市,男,33,16100,118.7964668,32.05838984
18602,江苏 苏州市,女,24,16100,120.58319009999998,31.29832743
19662,江苏 无锡市,女,35,16095,120.31236940000001,31.49095473
45368,北京,男,25,16090,116.4071592,39.90467168
16972,河北 保定市,男,39,16081,115.4645959,38.87399914
45369,北京,女,33,16065,116.4071592,39.90467168
45370,北京,女,30,16065,116.4071592,39.90467168
45371,北京,男,30,16065,116.4071592,39.90467168
8361,湖南 常德市,男,44,16065,111.6985031,29.03161875
36228,山东 德州市,男,47,16061,116.3592899,37.43537511
9894,湖北 武汉市,男,23,16053,114.30523059999999,30.59274732
33903,山东 青岛市,男,31,16052,120.3829588,36.06625251
47928,云南 大理白族自治州,女,26,16052,100.2676354,25.60650284
4067,辽宁 大连市,男,40,16050,121.6147485,38.913680299999996
8362,湖南 常德市,男,23,16049,111.6985031,29.03161875
5246,福建 福州市,男,39,16048,119.29645990000002,26.07417345
30376,广东 广州市,女,27,16046,113.26435,23.12906597
2739,辽宁 营口市,男,24,16043,122.23490490000002,40.66681872
37148,安徽 芜湖市,男,23,16043,118.4331335,31.35245062
45372,北京,女,24,16041,116.4071592,39.90467168
2145,重庆,女,35,16041,106.55074450000001,29.56470494
6689,福建 厦门市,男,28,16034,118.0894498,24.47955948
4725,福建 龙岩市,男,35,16030,117.0171943,25.07499093
45373,北京,男,45,16026,116.4071592,39.90467168
21917,江苏 南京市,男,32,16024,118.7964668,32.05838984
3491,辽宁 抚顺市,男,24,16023,123.95719820000001,41.87969198
21918,江苏 南京市,女,24,16022,118.7964668,32.05838984
5956,福建 泉州市,女,26,16020,118.6758514,24.87388355
40480,四川 成都市,女,52,16019,104.064766,30.57016295
39652,四川 眉山市,男,20,16018,103.8485064,30.07566789
4564,贵州 贵阳市,男,26,16013,106.630243,26.646988
5247,福建 福州市,女,31,16012,119.29645990000002,26.07417345
33904,山东 青岛市,男,30,16011,120.3829588,36.06625251
41202,四川 广安市,女,30,16010,106.63321280000001,30.4559516
30377,广东 广州市,男,32,16010,113.26435,23.12906597
21919,江苏 南京市,男,31,16009,118.7964668,32.05838984
18982,江苏 盐城市,男,21,16008,120.1616249,33.34956258
11718,浙江 温州市,女,31,16008,120.6993872,27.99483592
16141,河北 石家庄市,女,38,16007,114.5143068,38.04280433
4068,辽宁 大连市,男,19,16006,121.6147485,38.913680299999996
39000,天津,女,25,16005,117.1994124,39.08498159
39001,天津,男,33,16003,117.1994124,39.08498159
47745,云南 昆明市,男,26,16003,102.83322340000001,24.87967709
32341,广东 东莞市,男,23,16003,113.75180309999999,23.02066519
1193,陕西 西安市,男,30,16002,108.9398472,34.34120165
9895,湖北 武汉市,女,25,16002,114.30523059999999,30.59274732
40481,四川 成都市,男,27,16002,104.064766,30.57016295
12795,浙江 宁波市,男,32,16002,121.55027290000001,29.87383361
12794,浙江 宁波市,男,31,16002,121.55027290000001,29.87383361
45374,北京,男,26,16001,116.4071592,39.90467168
15228,河南 安阳市,男,21,16001,114.39307409999999,36.09775433
33905,山东 青岛市,男,33,16001,120.3829588,36.06625251
13886,河南 郑州市,女,24,16001,113.62491840000001,34.74723141
50776,上海,男,37,16001,121.47369990000001,31.23039505
30378,广东 广州市,男,35,16001,113.26435,23.12906597
