,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,83.0,84.0,85.0
0~1000,68.0,90.0,137.0,180.0,246.0,285.0,374.0,458.0,602.0,564.0,549.0,558.0,474.0,401.0,376.0,358.0,340.0,252.0,208.0,200.0,170.0,132.0,130.0,118.0,90.0,78.0,63.0,68.0,81.0,51.0,49.0,46.0,29.0,26.0,34.0,50.0,22.0,19.0,18.0,13.0,21.0,17.0,9.0,17.0,13.0,14.0,13.0,10.0,11.0,8.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,
1000~25000,18.0,18.0,31.0,56.0,123.0,187.0,261.0,352.0,528.0,544.0,592.0,628.0,546.0,548.0,498.0,471.0,507.0,415.0,317.0,286.0,291.0,242.0,214.0,201.0,172.0,167.0,163.0,130.0,139.0,83.0,93.0,50.0,47.0,48.0,55.0,43.0,36.0,11.0,18.0,15.0,13.0,13.0,12.0,17.0,12.0,5.0,11.0,10.0,8.0,5.0,8.0,5.0,3.0,4.0,6.0,,1.0,2.0,1.0,2.0,,1.0,,,,,
25000~50000,5.0,6.0,4.0,14.0,34.0,70.0,103.0,178.0,260.0,361.0,353.0,383.0,377.0,313.0,312.0,341.0,333.0,297.0,204.0,212.0,194.0,180.0,149.0,146.0,119.0,132.0,106.0,98.0,84.0,79.0,56.0,40.0,37.0,39.0,17.0,39.0,24.0,10.0,11.0,9.0,10.0,8.0,11.0,11.0,10.0,8.0,6.0,7.0,2.0,4.0,4.0,2.0,3.0,1.0,,,,2.0,,3.0,1.0,1.0,,1.0,1.0,,
50000~500000,7.0,1.0,2.0,5.0,11.0,14.0,43.0,76.0,155.0,195.0,254.0,263.0,310.0,252.0,317.0,305.0,313.0,309.0,264.0,257.0,234.0,218.0,192.0,160.0,153.0,139.0,126.0,114.0,119.0,85.0,80.0,41.0,36.0,35.0,36.0,32.0,29.0,11.0,12.0,8.0,17.0,10.0,15.0,9.0,11.0,8.0,7.0,6.0,5.0,6.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,1.0,1.0
>500000,3.0,1.0,2.0,1.0,2.0,1.0,9.0,14.0,20.0,39.0,48.0,59.0,73.0,58.0,61.0,93.0,102.0,94.0,101.0,103.0,105.0,93.0,100.0,91.0,79.0,85.0,76.0,68.0,54.0,44.0,43.0,19.0,20.0,24.0,19.0,13.0,17.0,8.0,3.0,2.0,9.0,8.0,7.0,5.0,7.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,,,,
