,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,83.0,88.0,90.0
0~1000,29.0,41.0,73.0,115.0,132.0,161.0,189.0,217.0,259.0,289.0,276.0,277.0,229.0,161.0,137.0,141.0,131.0,107.0,75.0,94.0,57.0,40.0,51.0,34.0,45.0,45.0,46.0,48.0,47.0,20.0,31.0,23.0,15.0,17.0,23.0,29.0,34.0,10.0,11.0,24.0,32.0,27.0,21.0,13.0,18.0,12.0,15.0,9.0,6.0,2.0,5.0,6.0,2.0,3.0,1.0,3.0,1.0,,1.0,,,,,,,1.0,
1000~25000,15.0,9.0,26.0,43.0,78.0,142.0,223.0,302.0,448.0,465.0,468.0,433.0,394.0,329.0,282.0,279.0,313.0,251.0,161.0,172.0,129.0,136.0,117.0,94.0,90.0,69.0,76.0,76.0,63.0,58.0,59.0,29.0,45.0,28.0,34.0,46.0,32.0,18.0,16.0,12.0,19.0,12.0,10.0,10.0,14.0,10.0,12.0,9.0,5.0,8.0,1.0,2.0,2.0,,,,,,1.0,,,,2.0,1.0,,,1.0
25000~50000,11.0,4.0,12.0,15.0,17.0,72.0,104.0,156.0,284.0,352.0,330.0,325.0,304.0,267.0,218.0,246.0,269.0,217.0,160.0,143.0,117.0,110.0,102.0,78.0,81.0,75.0,74.0,64.0,62.0,46.0,41.0,22.0,34.0,26.0,30.0,34.0,33.0,11.0,13.0,14.0,16.0,14.0,12.0,23.0,15.0,12.0,4.0,7.0,5.0,7.0,4.0,1.0,3.0,2.0,,2.0,,1.0,,3.0,1.0,1.0,,,1.0,,
50000~500000,7.0,1.0,1.0,7.0,8.0,10.0,50.0,84.0,176.0,233.0,285.0,309.0,319.0,250.0,211.0,252.0,293.0,214.0,157.0,157.0,142.0,119.0,92.0,81.0,77.0,59.0,62.0,73.0,51.0,52.0,46.0,28.0,37.0,34.0,43.0,42.0,26.0,21.0,22.0,15.0,14.0,23.0,19.0,24.0,19.0,11.0,7.0,7.0,6.0,8.0,5.0,5.0,1.0,,2.0,1.0,2.0,,1.0,,1.0,,,,,,
>500000,4.0,,,,,2.0,5.0,15.0,16.0,26.0,45.0,48.0,61.0,38.0,57.0,68.0,83.0,69.0,72.0,52.0,68.0,59.0,38.0,50.0,45.0,46.0,38.0,40.0,39.0,27.0,14.0,23.0,15.0,15.0,16.0,25.0,11.0,3.0,8.0,5.0,11.0,6.0,10.0,1.0,6.0,6.0,2.0,5.0,5.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,,,,,,,,,,
